squeezing_db,pZ_proxy,loss_base,pE_data,pE_anc,distance,trials,success_prob_within_cap,erasure_rate,avg_rounds_given_success,avg_fidelity_injected_given_success,avg_fidelity_logical_given_success,p_phys_eff
11.0,0.0012767841863026304,0.01,0.010076607051178157,0.015114910576767235,5.0,5000.0,0.97,0.03,1.1678350515463918,0.7952395795296051,0.794849058580688,0.0013830352558907892
11.0,0.0012767841863026304,0.01,0.010076607051178157,0.015114910576767235,7.0,5000.0,0.97,0.03,1.1861855670103092,0.7952395795296051,0.7951855691055532,0.0013830352558907892
11.5,0.0010718054491988432,0.01,0.01006430832695193,0.015096462490427894,1.0,5000.0,0.9718,0.0282,1.1907799958839267,0.79517455226706,0.7756702792499369,0.001321541634759653
11.5,0.0010718054491988432,0.01,0.01006430832695193,0.015096462490427894,3.0,5000.0,0.9706,0.0294,1.183803832680816,0.7951745522670599,0.7925969813822753,0.001321541634759653
11.5,0.0010718054491988432,0.01,0.01006430832695193,0.015096462490427894,5.0,5000.0,0.9734,0.0266,1.1695089377439902,0.79517455226706,0.7948339155429814,0.001321541634759653
11.5,0.0010718054491988432,0.01,0.01006430832695193,0.015096462490427894,7.0,5000.0,0.9712,0.0288,1.1768945634266885,0.79517455226706,0.7951295357057404,0.001321541634759653
12.0,0.000899734609228663,0.01,0.01005398407655372,0.015080976114830578,1.0,5000.0,0.974,0.026,1.1895277207392196,0.795119944044294,0.776381002429125,0.0012699203827685988
12.0,0.000899734609228663,0.01,0.01005398407655372,0.015080976114830578,3.0,5000.0,0.9708,0.0292,1.1891223733003708,0.795119944044294,0.7927402476534327,0.0012699203827685988
12.0,0.000899734609228663,0.01,0.01005398407655372,0.015080976114830578,5.0,5000.0,0.972,0.028,1.186008230452675,0.795119944044294,0.7948177415491386,0.0012699203827685988
12.0,0.000899734609228663,0.01,0.01005398407655372,0.015080976114830578,7.0,5000.0,0.974,0.026,1.1917864476386038,0.795119944044294,0.7950815667334616,0.0012699203827685988
12.5,0.0007552885345460398,0.01,0.010045317312072763,0.015067975968109144,1.0,5000.0,0.9712,0.0288,1.1795716639209226,0.7950740882501054,0.776977392702146,0.001226586560363812
12.5,0.0007552885345460398,0.01,0.010045317312072763,0.015067975968109144,3.0,5000.0,0.9732,0.0268,1.1752979860254829,0.7950740882501055,0.7928543718954931,0.001226586560363812
12.5,0.0007552885345460398,0.01,0.010045317312072763,0.015067975968109144,5.0,5000.0,0.9744,0.0256,1.1810344827586208,0.7950740882501054,0.7948018208252668,0.001226586560363812
12.5,0.0007552885345460398,0.01,0.010045317312072763,0.015067975968109144,7.0,5000.0,0.9676,0.0324,1.180446465481604,0.7950740882501055,0.795040692293692,0.001226586560363812
13.0,0.0006340322630311592,0.01,0.01003804193578187,0.015057062903672805,1.0,5000.0,0.9692,0.0308,1.1799422203879488,0.7950355840368378,0.777477873649672,0.0011902096789093478
13.0,0.0006340322630311592,0.01,0.01003804193578187,0.015057062903672805,3.0,5000.0,0.969,0.031,1.1834881320949433,0.7950355840368379,0.7929458483526088,0.0011902096789093478
13.0,0.0006340322630311592,0.01,0.01003804193578187,0.015057062903672805,5.0,5000.0,0.9714,0.0286,1.1850936792258595,0.7950355840368379,0.7947868616730647,0.0011902096789093478
13.0,0.0006340322630311592,0.01,0.01003804193578187,0.015057062903672805,7.0,5000.0,0.9732,0.0268,1.172215371968763,0.7950355840368379,0.7950059808603654,0.0011902096789093478
